date,yield_10y,yield_30y
2022-08-01,2.7292,3.2246
2022-08-02,2.7314,3.2273
2022-08-03,2.7218,3.2197
2022-08-04,2.7192,3.2191
2022-08-05,2.7339,3.2319
2022-08-08,2.7409,3.2416
2022-08-09,2.74,3.244
2022-08-10,2.7366,3.242
2022-08-11,2.7317,3.2403
2022-08-12,2.7347,3.2422
2022-08-15,2.6582,3.1883
2022-08-16,2.6346,3.1759
2022-08-17,2.6124,3.1709
2022-08-18,2.58,3.1378
2022-08-19,2.5875,3.1141
2022-08-22,2.5925,3.0985
2022-08-23,2.6075,3.1105
2022-08-24,2.61,3.1129
2022-08-25,2.639,3.1426
2022-08-26,2.643,3.1439
2022-08-29,2.6225,3.1235
2022-08-30,2.613,3.1162
2022-08-31,2.6225,3.1162
2022-09-01,2.6125,3.1032
2022-09-02,2.6226,3.1008
2022-09-05,2.618,3.09
2022-09-06,2.614,3.0846
2022-09-07,2.6215,3.0887
2022-09-08,2.6256,3.0901
2022-09-09,2.635,3.0982
2022-09-13,2.6427,3.1011
2022-09-14,2.6625,3.1089
2022-09-15,2.6625,3.106
2022-09-16,2.673,3.1059
2022-09-19,2.675,3.1039
2022-09-20,2.664,3.101
2022-09-21,2.6451,3.089
2022-09-22,2.6501,3.0913
2022-09-23,2.6802,3.1008
2022-09-26,2.7154,3.1274
2022-09-27,2.7051,3.1202
2022-09-28,2.7401,3.1448
2022-09-29,2.7501,3.1445
2022-09-30,2.7601,3.179
2022-10-08,2.7626,3.1851
2022-10-09,2.7452,3.164
2022-10-10,2.7402,3.1637
2022-10-11,2.7426,3.1632
2022-10-12,2.7352,3.1607
2022-10-13,2.7252,3.1533
2022-10-14,2.6977,3.1289
2022-10-17,2.7002,3.129
2022-10-18,2.7002,3.1314
2022-10-19,2.7052,3.1343
2022-10-20,2.7175,3.1471
2022-10-21,2.7278,3.1555
2022-10-24,2.7153,3.1416
2022-10-25,2.7278,3.1486
2022-10-26,2.7025,3.1394
2022-10-27,2.6953,3.1142
2022-10-28,2.6653,3.0776
2022-10-31,2.6433,3.0653
2022-11-01,2.6629,3.0753
2022-11-02,2.6854,3.0853
2022-11-03,2.6776,3.0854
2022-11-04,2.7023,3.1029
2022-11-07,2.7003,3.1045
2022-11-08,2.6853,3.1006
2022-11-09,2.6953,3.1105
2022-11-10,2.7028,3.1166
2022-11-11,2.7354,3.1357
2022-11-14,2.8354,3.2207
2022-11-15,2.8155,3.2158
2022-11-16,2.8329,3.2309
2022-11-17,2.8026,3.2109
2022-11-18,2.825,3.2209
2022-11-21,2.818,3.2086
2022-11-22,2.8276,3.2161
2022-11-23,2.7975,3.1912
2022-11-24,2.795,3.1813
2022-11-25,2.83,3.2162
2022-11-28,2.86,3.2337
2022-11-29,2.88,3.2663
2022-11-30,2.885,3.2763
2022-12-01,2.86,3.2615
2022-12-02,2.8676,3.263
2022-12-05,2.8902,3.2716
2022-12-06,2.9152,3.2865
2022-12-07,2.8702,3.2719
2022-12-08,2.8853,3.2755
2022-12-09,2.8903,3.2843
2022-12-12,2.8902,3.2844
2022-12-13,2.8952,3.2896
2022-12-14,2.8655,3.2621
2022-12-15,2.8829,3.277
