date,code,name,group,open,high,low,close,volume,amount
2022-08-31,180501.SZ,红土创新深圳安居REIT,B,3.229,3.229,3.229,3.229,16562894,
2022-09-01,180501.SZ,红土创新深圳安居REIT,B,3.358,3.47,3.25,3.406,46851481,
2022-09-02,180501.SZ,红土创新深圳安居REIT,B,3.41,3.426,3.358,3.407,9101380,
2022-09-05,180501.SZ,红土创新深圳安居REIT,B,3.478,3.478,3.395,3.395,5020524,
2022-09-06,180501.SZ,红土创新深圳安居REIT,B,3.4,3.412,3.371,3.404,6657104,
2022-09-07,180501.SZ,红土创新深圳安居REIT,B,3.406,3.418,3.4,3.416,2705698,
2022-09-08,180501.SZ,红土创新深圳安居REIT,B,3.475,3.475,3.416,3.428,3714840,
2022-09-09,180501.SZ,红土创新深圳安居REIT,B,3.43,3.44,3.426,3.427,3609957,
2022-09-13,180501.SZ,红土创新深圳安居REIT,B,3.426,3.427,3.401,3.423,2540160,
2022-09-14,180501.SZ,红土创新深圳安居REIT,B,3.419,3.435,3.405,3.418,3488943,
2022-09-15,180501.SZ,红土创新深圳安居REIT,B,3.419,3.424,3.412,3.413,1820618,
2022-09-16,180501.SZ,红土创新深圳安居REIT,B,3.413,3.413,3.386,3.398,3797004,
2022-09-19,180501.SZ,红土创新深圳安居REIT,B,3.399,3.407,3.39,3.393,2504932,
2022-09-20,180501.SZ,红土创新深圳安居REIT,B,3.393,3.393,3.383,3.389,1276186,
2022-09-21,180501.SZ,红土创新深圳安居REIT,B,3.389,3.392,3.384,3.39,852642,
2022-09-22,180501.SZ,红土创新深圳安居REIT,B,3.39,3.398,3.377,3.394,1582070,
2022-09-23,180501.SZ,红土创新深圳安居REIT,B,3.394,3.401,3.387,3.395,1377797,
2022-09-26,180501.SZ,红土创新深圳安居REIT,B,3.395,3.403,3.392,3.392,913884,
2022-09-27,180501.SZ,红土创新深圳安居REIT,B,3.394,3.401,3.386,3.388,1823716,
2022-09-28,180501.SZ,红土创新深圳安居REIT,B,3.388,3.6,3.384,3.4,3249424,
2022-09-29,180501.SZ,红土创新深圳安居REIT,B,3.4,3.4,3.381,3.385,969048,
2022-09-30,180501.SZ,红土创新深圳安居REIT,B,3.387,3.395,3.379,3.381,764606,
2022-10-10,180501.SZ,红土创新深圳安居REIT,B,3.381,3.381,3.32,3.326,2256236,
2022-10-11,180501.SZ,红土创新深圳安居REIT,B,3.326,3.329,3.245,3.276,4305822,
2022-10-12,180501.SZ,红土创新深圳安居REIT,B,3.262,3.28,3.262,3.277,741291,
2022-10-13,180501.SZ,红土创新深圳安居REIT,B,3.278,3.3,3.271,3.273,1235058,
2022-10-14,180501.SZ,红土创新深圳安居REIT,B,3.272,3.276,3.261,3.276,1362811,
2022-10-17,180501.SZ,红土创新深圳安居REIT,B,3.277,3.278,3.27,3.272,995507,
2022-10-18,180501.SZ,红土创新深圳安居REIT,B,3.271,3.276,3.268,3.272,1280452,
2022-10-19,180501.SZ,红土创新深圳安居REIT,B,3.272,3.276,3.265,3.268,1887266,
2022-10-20,180501.SZ,红土创新深圳安居REIT,B,3.266,3.266,3.244,3.264,5098607,
