date,指数代码,指数中文全称,指数中文简称,指数英文全称,指数英文简称,open,high,low,close,涨跌,涨跌幅,volume,成交金额,样本数量,滚动市盈率
2021-09-30,932006,中证REITs（收盘）指数,中证REITs（收盘）,CSI REITs (closing) Index,CSI REITs (closing),,,,1000.0,,0.0,0.0,0.0,,
2021-10-08,932006,中证REITs（收盘）指数,中证REITs（收盘）,CSI REITs (closing) Index,CSI REITs (closing),,,,1003.38,,0.34,0.0,0.0,,
2021-10-11,932006,中证REITs（收盘）指数,中证REITs（收盘）,CSI REITs (closing) Index,CSI REITs (closing),,,,1002.63,,-0.07,0.0,0.0,,
2021-10-12,932006,中证REITs（收盘）指数,中证REITs（收盘）,CSI REITs (closing) Index,CSI REITs (closing),,,,1000.34,,-0.23,0.0,0.0,,
2021-10-13,932006,中证REITs（收盘）指数,中证REITs（收盘）,CSI REITs (closing) Index,CSI REITs (closing),,,,1000.98,,0.06,0.0,0.0,,
2021-10-14,932006,中证REITs（收盘）指数,中证REITs（收盘）,CSI REITs (closing) Index,CSI REITs (closing),,,,1000.56,,-0.04,0.0,0.0,,
2021-10-15,932006,中证REITs（收盘）指数,中证REITs（收盘）,CSI REITs (closing) Index,CSI REITs (closing),,,,1000.99,,0.04,0.0,0.0,,
2021-10-18,932006,中证REITs（收盘）指数,中证REITs（收盘）,CSI REITs (closing) Index,CSI REITs (closing),,,,1001.74,,0.07,0.0,0.0,,
2021-10-19,932006,中证REITs（收盘）指数,中证REITs（收盘）,CSI REITs (closing) Index,CSI REITs (closing),,,,1006.84,,0.51,0.0,0.0,,
2021-10-20,932006,中证REITs（收盘）指数,中证REITs（收盘）,CSI REITs (closing) Index,CSI REITs (closing),,,,1014.39,,0.75,0.0,0.0,,
2021-10-21,932006,中证REITs（收盘）指数,中证REITs（收盘）,CSI REITs (closing) Index,CSI REITs (closing),,,,1023.14,,0.86,0.0,0.0,,
2021-10-22,932006,中证REITs（收盘）指数,中证REITs（收盘）,CSI REITs (closing) Index,CSI REITs (closing),,,,1032.92,,0.96,0.0,0.0,,
